Testing overfitting the model on all the datasets
Class ratio [('ana valeije0', 10, 0.5), ('fractal0', 10, 0.5)]
Train labels :(16,80.0%)
Test  labels :(4,20.0%)
Model: 1_lstm_no_dropout_500_2_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			lateral Linear ['W'] 
						 W => (2000, 500)
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
		w Linear ['W', 'b'] 
				 W => (2, 500)
				 b => (2,)
Optimizer: ('MomentumSGD', {'lr': 0.01, 'momentum': 0.9}) 
Evaluation
epoch	training loss	test loss	test accuracy
208	0.00013208389282226562	9.334087371826172e-05	1.0
209	0.00013147294521331787	9.274482727050781e-05	1.0
210	0.00013077259063720703	9.238719940185547e-05	1.0
211	0.00012992322444915771	9.179115295410156e-05	1.0
212	0.00012922286987304688	9.119510650634766e-05	1.0
213	0.00012858211994171143	9.083747863769531e-05	1.0
214	0.00012791156768798828	9.02414321899414e-05	1.0
215	0.00012728571891784668	9.012222290039062e-05	1.0
216	0.00012646615505218506	8.96453857421875e-05	1.0
217	0.00012576580047607422	8.893013000488281e-05	1.0
218	0.00012502074241638184	8.845329284667969e-05	1.0
219	0.00012439489364624023	8.809566497802734e-05	1.0
220	0.0001237243413925171	8.761882781982422e-05	1.0
221	0.0001230984926223755	8.738040924072266e-05	1.0
222	0.0001223832368850708	8.678436279296875e-05	1.0
223	0.00012187659740447998	8.654594421386719e-05	1.0
224	0.00012123584747314453	8.594989776611328e-05	1.0
225	0.00012060999870300293	8.571147918701172e-05	1.0
226	0.00011990964412689209	8.52346420288086e-05	1.0
227	0.00011929869651794434	8.487701416015625e-05	1.0
228	0.0001185685396194458	8.440017700195312e-05	1.0
229	0.00011816620826721191	8.416175842285156e-05	1.0
230	0.00011754035949707031	8.356571197509766e-05	1.0
231	0.00011684000492095947	8.33272933959961e-05	1.0
232	0.00011628866195678711	8.273124694824219e-05	1.0
233	0.0001156926155090332	8.249282836914062e-05	1.0
234	0.00011517107486724854	8.213520050048828e-05	1.0
