Testing overfitting the model on all the datasets
Class ratio [('ana valeije0', 10, 0.3333333333333333), ('kawasaki0', 10, 0.3333333333333333), ('tama eguchi0', 10, 0.3333333333333333)]
Train labels :(24,80.0%)
Test  labels :(6,20.0%)
Model: 1_lstm_no_dropout_500_3_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			lateral Linear ['W'] 
						 W => (2000, 500)
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
		w Linear ['W', 'b'] 
				 W => (3, 500)
				 b => (3,)
Optimizer: ('MomentumSGD', {'momentum': 0.9, 'lr': 0.01}) 
Evaluation
epoch	training loss	test loss	test accuracy
184	0.0001348257064819336	0.01970859368642171	1.0
185	0.0001339117685953776	0.019773006439208984	1.0
186	0.00013313690821329752	0.01969595750172933	1.0
187	0.00013218323389689127	0.019744714101155598	1.0
188	0.00013146797815958658	0.019738316535949707	1.0
189	0.00013073285420735678	0.019788185755411785	1.0
190	0.00012977917989095053	0.019712328910827637	1.0
191	0.00012894471486409506	0.01972476641337077	1.0
192	0.0001281301180521647	0.019739707310994465	1.0
193	0.0001274545987447103	0.019654313723246258	1.0
194	0.0001267393430074056	0.01962880293528239	1.0
195	0.000125885009765625	0.019685228665669758	1.0
196	0.00012513001759847006	0.019690791765848797	1.0
197	0.00012449423472086588	0.01984075705210368	1.0
198	0.00012375911076863608	0.01969766616821289	1.0
199	0.00012288490931193033	0.01965828736623128	1.0
200	0.00012218952178955078	0.019693573315938313	1.0
201	0.00012139479319254558	0.01971137523651123	1.0
202	0.0001208186149597168	0.019646167755126953	1.0
203	0.00012002388636271159	0.01973613103230794	1.0
204	0.00011932849884033203	0.01964402198791504	1.0
205	0.00011857350667317708	0.019693930943806965	1.0
206	0.00011799732844034831	0.019756793975830078	1.0
207	0.00011736154556274414	0.019802212715148926	1.0
208	0.00011668602625528972	0.019681612650553387	1.0
209	0.00011593103408813477	0.019731839497884113	1.0
210	0.00011517604192097981	0.01968836784362793	1.0
211	0.00011465946833292644	0.019650975863138836	1.0
212	0.00011394421259562175	0.01968650023142497	1.0
213	0.0001133282979329427	0.01965351899464925	1.0
214	0.00011275211970011394	0.019712408383687336	1.0
215	0.00011209646860758464	0.019651095072428387	1.0
216	0.0001114805539449056	0.019667704900105793	1.0
217	0.00011080503463745117	0.019711732864379883	1.0
218	0.00011032819747924805	0.019745151201883953	1.0
219	0.00010961294174194336	0.01969762643178304	1.0
220	0.00010915597279866536	0.019660313924153645	1.0
221	0.00010854005813598633	0.019649744033813477	1.0
222	0.0001079241434733073	0.019642353057861328	1.0
223	0.00010732809702555339	0.019675374031066895	1.0
224	0.00010685125986735026	0.019614617029825848	1.0
225	0.00010623534520467122	0.019692540168762207	1.0
226	0.00010573863983154297	0.019633134206136067	1.0
227	0.00010520219802856445	0.019714832305908203	1.0
228	0.00010458628336588542	0.01971137523651123	1.0
229	0.00010408957799275716	0.019725243250528973	1.0
230	0.00010355313618977864	0.019743998845418293	1.0
231	0.000102996826171875	0.01968204975128174	1.0
232	0.000102539857228597	0.01970803737640381	1.0
233	0.00010198354721069336	0.019641558329264324	1.0
234	0.00010150671005249023	0.019665122032165527	1.0
235	0.00010093053181966145	0.019666194915771484	1.0
236	0.00010047356287638347	0.019638538360595703	1.0
237	9.999672571818034e-05	0.019722143809000652	1.0
238	9.946028391520183e-05	0.01965196927388509	1.0
239	9.892384211222331e-05	0.019680261611938477	1.0
240	9.85264778137207e-05	0.0196533203125	1.0
241	9.800990422566731e-05	0.019650061925252277	1.0
242	9.749333063761394e-05	0.019687294960021973	1.0
243	9.70760981241862e-05	0.01971248785654704	1.0
244	9.66191291809082e-05	0.019664963086446125	1.0
245	9.618202845255534e-05	0.01970795790354411	1.0
246	9.564558664957683e-05	0.019693175951639812	1.0
247	9.522835413614909e-05	0.01967171827952067	1.0
248	9.479125340779622e-05	0.01967179775238037	1.0
249	9.43144162495931e-05	0.019663373629252117	1.0
250	9.389718373616536e-05	0.019683043162027996	1.0
251	9.347995122273763e-05	0.019672751426696777	1.0
252	9.298324584960938e-05	0.019663016001383465	1.0
253	9.26057497660319e-05	0.019665638605753582	1.0
254	9.208917617797852e-05	0.019679983456929524	1.0
255	9.177128473917644e-05	0.01967783768971761	1.0
256	9.133418401082356e-05	0.019678115844726562	1.0
257	9.085734685262044e-05	0.019704381624857586	1.0
258	9.04997189839681e-05	0.019732872645060223	1.0
259	9.012222290039062e-05	0.019672751426696777	1.0
260	8.962551752726237e-05	0.019718130429585774	1.0
261	8.926788965861003e-05	0.01969023545583089	1.0
262	8.883078893025716e-05	0.019714832305908203	1.0
263	8.843342463175456e-05	0.019716779390970867	1.0
264	8.807579676310222e-05	0.019680221875508625	1.0
